seed,mcs,species,volume,ncells,mel_site,mel_parcel
44,80,7,701,6,0.292501,0.292379
43,120,1,694,6,1.185458,1.186036
43,120,2,699,6,0.165619,0.165075
43,120,3,696,6,1.621403,1.619767
43,120,4,698,6,0.170641,0.171045
43,120,5,699,6,1.205507,1.206742
43,120,6,700,6,0.149142,0.149053
43,120,7,704,6,0.370513,0.371481
51,140,1,697,6,1.455008,1.452688
51,140,2,697,6,0.272710,0.272578
51,140,3,700,6,1.914515,1.913596
51,140,4,698,6,0.288503,0.286436
51,140,5,698,6,1.214841,1.211007
51,140,6,696,6,0.286276,0.284850
51,140,7,694,6,0.376049,0.375750
45,160,1,700,6,1.688711,1.686908
45,160,2,699,6,0.319453,0.319146
45,160,3,699,6,2.342791,2.339428
45,160,4,691,6,0.272113,0.270339
45,160,5,699,6,1.318116,1.313935
45,160,6,697,6,0.137876,0.137552
45,160,7,696,6,0.279119,0.278578
50,140,1,701,6,1.501475,1.501079
50,140,2,703,6,0.512155,0.511513
50,140,3,700,6,1.890632,1.888119
50,140,4,699,6,0.345186,0.342940
50,140,5,700,6,1.117358,1.116212
50,140,6,697,6,0.223471,0.223927
50,140,7,699,6,0.250523,0.249131
47,160,1,695,6,1.385620,1.384671
47,160,2,699,6,0.395903,0.394848
47,160,3,698,6,1.737566,1.736368
47,160,4,697,6,0.223525,0.223493
47,160,5,702,6,1.499230,1.495448
47,160,6,698,6,0.176023,0.176379
47,160,7,695,6,0.239985,0.240077
49,160,1,697,6,1.642501,1.639639
49,160,2,699,6,0.384426,0.381780
49,160,3,703,6,2.266065,2.265652
49,160,4,697,6,0.468117,0.466619
49,160,5,699,6,1.282834,1.279675
49,160,6,695,6,0.382742,0.381448
49,160,7,694,6,0.388272,0.385558
44,100,1,704,6,1.644350,1.644128
44,100,2,702,6,0.475068,0.475419
44,100,3,699,6,1.717502,1.716947
44,100,4,700,6,0.252819,0.252262
44,100,5,697,6,0.830019,0.829293
44,100,6,696,6,0.131220,0.131220
44,100,7,700,6,0.409884,0.409483
42,120,1,698,6,1.066529,1.066170
42,120,2,702,6,0.366679,0.366135
42,120,3,699,6,1.570302,1.569655
42,120,4,700,6,0.370780,0.371595
42,120,5,701,6,1.056604,1.056143
42,120,6,697,6,0.156162,0.156354
42,120,7,693,6,0.160191,0.159712
43,140,1,695,6,1.276075,1.275127
43,140,2,701,6,0.242497,0.241533
43,140,3,696,6,1.741854,1.740989
43,140,4,700,6,0.207519,0.207509
43,140,5,697,6,1.323681,1.324019
43,140,6,700,6,0.179153,0.179478
43,140,7,703,6,0.421460,0.422214
51,160,1,699,6,1.549681,1.547608
51,160,2,697,6,0.333554,0.332701
51,160,3,700,6,2.052849,2.052386
51,160,4,696,6,0.329608,0.326833
51,160,5,696,6,1.313170,1.308946
51,160,6,696,6,0.321751,0.321645
51,160,7,696,6,0.434162,0.433705
45,180,1,699,6,1.795335,1.793935
45,180,2,701,6,0.365638,0.365291
45,180,3,701,6,2.483258,2.478850
45,180,4,692,6,0.310046,0.308453
45,180,5,697,6,1.423943,1.420769
45,180,6,699,6,0.159642,0.159202
45,180,7,697,6,0.317400,0.316049
47,180,1,696,6,1.462177,1.460058
47,180,2,700,6,0.447366,0.446611
47,180,3,696,6,1.823184,1.821989
47,180,4,695,6,0.254498,0.253636
47,180,5,701,6,1.621508,1.618891
47,180,6,698,6,0.208426,0.208382
47,180,7,695,6,0.276006,0.276059
49,180,1,696,6,1.733808,1.731413
49,180,2,695,6,0.430062,0.428202
49,180,3,702,6,2.425311,2.425822
49,180,4,697,6,0.538564,0.536792
49,180,5,702,6,1.374229,1.370807
49,180,6,695,6,0.425934,0.424060
49,180,7,699,6,0.436829,0.435558
50,160,1,705,6,1.676117,1.675108
50,160,2,703,6,0.586417,0.584162
50,160,3,699,6,2.019748,2.017768
50,160,4,698,6,0.400919,0.397550
50,160,5,698,6,1.219660,1.218354
50,160,6,697,6,0.260185,0.259175
50,160,7,699,6,0.291505,0.290340
48,80,1,697,6,1.173372,1.171856
48,80,2,698,6,0.332457,0.330750
48,80,3,705,6,1.900034,1.896832
48,80,4,699,6,0.178778,0.178023
48,80,5,698,6,0.669234,0.669154
48,80,6,698,6,0.101316,0.101573
48,80,7,699,6,0.221019,0.220467
51,180,1,696,6,1.625003,1.623703
51,180,2,696,6,0.381761,0.380658
51,180,3,702,6,2.183774,2.181896
51,180,4,697,6,0.376826,0.374224
51,180,5,699,6,1.406238,1.401340
51,180,6,695,6,0.359696,0.357338
51,180,7,694,6,0.498883,0.496941
44,120,1,702,6,1.820580,1.821051
44,120,2,700,6,0.573313,0.572659
44,120,3,699,6,1.922668,1.920842
44,120,4,699,6,0.312779,0.311489
44,120,5,698,6,0.959525,0.960225
44,120,6,697,6,0.176531,0.176769
44,120,7,699,6,0.509631,0.509253
43,160,1,698,6,1.350618,1.348589
43,160,2,696,6,0.335980,0.336140
43,160,3,693,6,1.843862,1.843252
